country,capital,type,latitude,longitude
Panama,Panama City,countryCapital,9.1011785,-79.4028639
Mexico,Mexico City,countryCapital,19.4326077,-99.133208
Abkhazia,Sukhumi,countryCapital,43.0015252,41.0234153
Afghanistan,Kabul,countryCapital,34.5553494,69.207486
Akrotiri and Dhekelia,Episkopi Cantonment,countryCapital,34.6758953,32.8817689
Albania,Tirana,countryCapital,41.3275459,19.8186982
Algeria,Algiers,countryCapital,36.7537703,3.0587927
American Samoa,Pago Pago,countryCapital,-14.2756319,-170.7020359
Andorra,Andorra la Vella,countryCapital,42.5063174,1.5218355
Angola,Luanda,countryCapital,-8.8399876,13.2894368
Anguilla,The Valley,countryCapital,18.2148129,-63.0574406
Antigua and Barbuda,St. John's,countryCapital,17.1274104,-61.846772
Argentina,Buenos Aires,countryCapital,-34.6036844,-58.3815591
Armenia,Yerevan,countryCapital,40.1791857,44.4991029
Aruba,Oranjestad,countryCapital,12.5092044,-70.0086306
Ascension Island,Georgetown,countryCapital,-7.926223,-14.4112011
Australia,Canberra,countryCapital,-35.3075,149.124417
Austria,Vienna,countryCapital,48.2081743,16.3738189
Azerbaijan,Baku,countryCapital,40.4092617,49.8670924
Bahamas,Nassau,countryCapital,25.0479835,-77.355413
Bahrain,Manama,countryCapital,26.2285161,50.5860497
Bangladesh,Dhaka,countryCapital,23.810332,90.4125181
Barbados,Bridgetown,countryCapital,13.1132219,-59.5988089
Belarus,Minsk,countryCapital,53.9045398,27.5615244
Belgium,Brussels,countryCapital,50.8503396,4.3517103
Belize,Belmopan,countryCapital,17.2510114,-88.7590201
Benin,Porto-Novo,countryCapital,6.4968574,2.6288523
Bermuda,Hamilton,countryCapital,32.294816,-64.781375
Bhutan,Thimphu,countryCapital,27.4727924,89.6392863
Bolivia,Sucre,countryCapital,-19.0195852,-65.2619615
Bolivia,La Paz,countryCapital,-16.489689,-68.1192936
Bosnia and Herzegovina,Sarajevo,countryCapital,43.8562586,18.4130763
Botswana,Gaborone,countryCapital,-24.6282079,25.9231471
Brazil,Brasília,countryCapital,-15.7942287,-47.8821658
British Virgin Islands,Road Town,countryCapital,18.4286115,-64.6184657
Brunei,Bandar Seri Begawan,countryCapital,4.9030522,114.939821
Bulgaria,Sofia,countryCapital,42.6977082,23.3218675
Burkina Faso,Ouagadougou,countryCapital,12.3714277,-1.5196603
Burundi,Bujumbura,countryCapital,-3.361378,29.3598782
Cambodia,Phnom Penh,countryCapital,11.5448729,104.8921668
Cameroon,Yaoundé,countryCapital,3.8480325,11.5020752
Canada,Ottawa,countryCapital,45.4215296,-75.6971931
Cape Verde,Praia,countryCapital,14.93305,-23.5133267
Cayman Islands,George Town,countryCapital,19.2869323,-81.3674389
Central African Republic,Bangui,countryCapital,4.3946735,18.5581899
Chad,N'Djamena,countryCapital,12.1348457,15.0557415
Chile,Santiago,countryCapital,-33.4378305,-70.6504492
China,Beijing,countryCapital,39.904211,116.407395
Christmas Island,Flying Fish Cove,countryCapital,-10.4318725,105.6735131
Cocos (Keeling) Islands,West Island,countryCapital,-12.1450486,96.8217017
Colombia,Bogotá,countryCapital,4.7109886,-74.072092
Comoros,Moroni,countryCapital,-11.7172157,43.2473146
Cook Islands,Avarua,countryCapital,-21.2129007,-159.7823059
Costa Rica,San José,countryCapital,9.9280694,-84.0907246
Croatia,Zagreb,countryCapital,45.8150108,15.981919
Cuba,Havana,countryCapital,23.1135925,-82.3665956
Curaçao,Willemstad,countryCapital,12.1224221,-68.8824233
Cyprus,Nicosia,countryCapital,35.1855659,33.3822764
Czech Republic,Prague,countryCapital,50.0755381,14.4378005
Côte d'Ivoire,Yamoussoukro,countryCapital,6.8276228,-5.2893433
Democratic Republic of the Congo,Kinshasa,countryCapital,-4.4419311,15.2662931
Denmark,Copenhagen,countryCapital,55.6760968,12.5683371
Djibouti,Djibouti,countryCapital,11.5720765,43.1456475
Dominica,Roseau,countryCapital,15.3091676,-61.3793554
Dominican Republic,Santo Domingo,countryCapital,18.4860575,-69.9312117
East Timor (Timor-Leste),Dili,countryCapital,-8.5568557,125.5603143
Easter Island,Hanga Roa,countryCapital,-27.15,-109.4333
Ecuador,Quito,countryCapital,-0.1806532,-78.4678382
Egypt,Cairo,countryCapital,30.0444196,31.2357116
El Salvador,San Salvador,countryCapital,13.6929403,-89.2181911
